year,level_1,level_2,value
1963,Total Age Specific Death Rate,5  -  9 Years,0.7
1963,Total Age Specific Death Rate,10 - 14 Years,0.6
1963,Total Age Specific Death Rate,15 - 19 Years,0.8
1963,Total Age Specific Death Rate,20 - 24 Years,1.2
1963,Total Age Specific Death Rate,25 - 29 Years,1.2
1963,Total Age Specific Death Rate,30 - 34 Years,1.8
1963,Total Age Specific Death Rate,35 - 39 Years,2.6
1963,Total Age Specific Death Rate,40 - 44 Years,4.2
1963,Total Age Specific Death Rate,45 - 49 Years,6.1
1963,Total Age Specific Death Rate,50 - 54 Years,11.8
1963,Total Age Specific Death Rate,55 - 59 Years,19.2
1963,Total Age Specific Death Rate,60 - 64 Years,31.9
1963,Total Age Specific Death Rate,65 - 69 Years,40.8
1963,Total Age Specific Death Rate,70 - 74 Years,na
1963,Total Age Specific Death Rate,75 Years & Over,na
1963,Total Age Specific Death Rate,70 Years & Over,95.5
1963,Total Age Specific Death Rate,75 - 79 Years,na
1963,Total Age Specific Death Rate,80 - 84 Years,na
1963,Total Age Specific Death Rate,85 Years & Over,na
1964,Male Age Specific Death Rate,Under 1 Year,33.6
1964,Male Age Specific Death Rate,1  -  4 Years,2.1
1964,Male Age Specific Death Rate,5  -  9 Years,0.8
1964,Male Age Specific Death Rate,10 - 14 Years,0.7
1964,Male Age Specific Death Rate,15 - 19 Years,0.9
1964,Male Age Specific Death Rate,20 - 24 Years,1.5
1964,Male Age Specific Death Rate,25 - 29 Years,1.5
1964,Male Age Specific Death Rate,30 - 34 Years,1.8
1964,Male Age Specific Death Rate,35 - 39 Years,2.6
1964,Male Age Specific Death Rate,40 - 44 Years,5.3
1964,Male Age Specific Death Rate,45 - 49 Years,7.8
1964,Male Age Specific Death Rate,50 - 54 Years,14.9
1964,Male Age Specific Death Rate,55 - 59 Years,22.6
1964,Male Age Specific Death Rate,60 - 64 Years,39.2
1964,Male Age Specific Death Rate,65 - 69 Years,56.7
1964,Male Age Specific Death Rate,70 - 74 Years,na
1964,Male Age Specific Death Rate,75 Years & Over,na
1964,Male Age Specific Death Rate,70 Years & Over,131.6
1964,Male Age Specific Death Rate,75 - 79 Years,na
1964,Male Age Specific Death Rate,80 - 84 Years,na
1964,Male Age Specific Death Rate,85 Years & Over,na
1964,Female Age Specific Death Rate,Under 1 Year,25.8
1964,Female Age Specific Death Rate,1  -  4 Years,1.8
1964,Female Age Specific Death Rate,5  -  9 Years,0.6
1964,Female Age Specific Death Rate,10 - 14 Years,0.4
1964,Female Age Specific Death Rate,15 - 19 Years,0.7
1964,Female Age Specific Death Rate,20 - 24 Years,0.7
1964,Female Age Specific Death Rate,25 - 29 Years,1
1964,Female Age Specific Death Rate,30 - 34 Years,1.6
1964,Female Age Specific Death Rate,35 - 39 Years,2.5
